FECHA_CSV;SIGNATURA;NOMBRE;DIRECCION;CP;PROV_CODIGO;PROVINCIA;MUNI_CODIGO;MUNICIPIO;COMARCA;EMAIL;TELEFONO;FAX;WEB;ACTIVIDADES;EN_LOCALIDADES
14/09/2025 02:00:03;CVTA00001 A;VOLTOUR BIKE EXPERIENCE;POLÍGONO INDUSTRIAL COTES BAIXES CALLE B, NAVE 1D;03804;03;ALACANT;009;ALCOI/ALCOY;L'ALCOIA;info@voltour.com;965271791;;http://voltour.com;;Agres (ALACANT), Alcoi/Alcoy (ALACANT), El Castell de Guadalest (ALACANT), L'Orxa/Lorcha (ALACANT), Cabanes (CASTELLÓ), Alboraia/Alboraya (VALÈNCIA)
14/09/2025 02:00:03;CVTA00002 A;CENTRO DE BUCEO PELICAR;PUERTO DE JAVEA, MUELLE NORTE, S/N;03730;03;ALACANT;082;XÀBIA/JÁVEA;LA MARINA ALTA;pelicarbuceo@gmail.com;96 646 21 83;96 646 21 83;www.buceopelicar.com;;Xàbia/Jávea (ALACANT)
14/09/2025 02:00:03;CVTA00003 A;CELACANTO BUCEO ALTEA;CALLE SARDINAL, 4 - LOCAL 8, 4;03590;03;ALACANT;018;ALTEA;LA MARINA BAIXA;curso@buceoaltea.com;607239378;965845081;https://buceoaltea.com;;Altea (ALACANT), Benidorm (ALACANT)
14/09/2025 02:00:03;CVTA00004 A;NUEVO ALPINISMO MONTAÑA MEDITERRANEA;CALLE SANTA ANA, 5-2;03204;03;ALACANT;065;ELX/ELCHE;EL BAIX VINALOPO;montana.mediterranea@gmail.com;659269169;966695782;http://montana-mediterranea.com;;Albatera (ALACANT), Alcoi/Alcoy (ALACANT), Callosa de Segura (ALACANT), Calp (ALACANT), Castalla (ALACANT), Crevillent (ALACANT), Orihuela (ALACANT), Petrer (ALACANT), Redován (ALACANT), Villena (ALACANT)
14/09/2025 02:00:03;CVTA00005 A;CENTRO DE BUCEO LA GALERA;PASEO CLUB NÁUTICO MORAIRA, MUELLE PESQUERO;03724;03;ALACANT;128;TEULADA;LA MARINA ALTA;buceolagalera@gmail.com;646674766;;http://www.buceolagalera.es;;Calp (ALACANT), Poble Nou de Benitatxell, el/ Benitachell (ALACANT), Teulada (ALACANT)
14/09/2025 02:00:03;CVTA00006 A;15 CUMBRES;CALLE ALEMANIA, 4-ENTLO.;03003;03;ALACANT;014;ALACANT/ALICANTE;L'ALACANTI;info@15cumbres.com;618686111;;http://15cumbres.com;;Busot (ALACANT), Callosa d'en Sarrià (ALACANT), Confrides (ALACANT), La Nucia (ALACANT), Villena (ALACANT)
14/09/2025 02:00:03;CVTA00010 A;SCUBA MORAIRA;CARRETERA MORAIRA-CALPE, 130;03724;03;ALACANT;128;TEULADA;LA MARINA ALTA;info@scubamoraira.com;638088972;;http://www.scubamoraira.com;;Benissa (ALACANT), Calp (ALACANT), Poble Nou de Benitatxell, el/ Benitachell (ALACANT), Teulada (ALACANT), Xàbia/Jávea (ALACANT)
14/09/2025 02:00:03;CVTA00011 A;TRAMUNTANA AVENTURA;CALLE SEGURA, 13-BJ-D;03004;03;ALACANT;014;ALACANT/ALICANTE;L'ALACANTI;info@tramuntanaaventura.es;616351506;;http://tramuntanaaventura.es;;Alcoi/Alcoy (ALACANT), Banyeres de Mariola (ALACANT), Confrides (ALACANT), Crevillent (ALACANT), El Castell de Guadalest (ALACANT), La Vall de Laguar (ALACANT), La Vall d'Ebo (ALACANT), Monforte del Cid (ALACANT), Novelda (ALACANT), Tàrbena (ALACANT)
14/09/2025 02:00:03;CVTA00012 A;CENTRO EXCURSIONISTA PEGO;CALLE LLAVADOR (APTO..17), S/N;03780;03;ALACANT;102;PEGO;LA MARINA ALTA;cexcursionistapego@gmail.com;686 090 511;;https://www.cepego.com;;Alcoi/Alcoy (ALACANT), Cocentaina (ALACANT), La Vall d'Alcalà (ALACANT), La Vall de Laguar (ALACANT), La Vall d'Ebo (ALACANT), L'Atzúbia (ALACANT), Parcent (ALACANT), Pego (ALACANT), Planes (ALACANT), Xàbia/Jávea (ALACANT)
14/09/2025 02:00:03;CVTA00013 A;ANTHIAS SANTA POLA;CALLE MUELLE DE PONIENTE - CLUB NAUTICO - PANTALAN 6, S/N;03130;03;ALACANT;121;SANTA POLA;EL BAIX VINALOPO;santapola@anthias.es;691696601;;http://www.anthias.es;;Alacant/Alicante (ALACANT), Santa Pola (ALACANT)
